Date,price_avg,temp_c,precip_mm,wind_m_s,rh_pct,Harvest_kg,Price_index,temp_category,precip_category,source
2013-06-16,0.1767441860465116,0.5071312803889791,0.00015884705916330923,0.2967409948542025,0.5787784115337213,,,Moderate,Low,Original
2013-06-17,0.11627906976744184,0.4711507293354946,4.332192522635706e-05,0.304173813607776,0.5860013184671389,,,Moderate,Low,Original
2013-06-18,0.13023255813953488,0.36012965964343624,0.0,0.3481989708404804,0.6699532804035657,,,Moderate,Low,Original
2013-06-19,0.14883720930232558,0.319935170178282,1.444064174211902e-05,0.2967409948542025,0.5844248903665912,,,Cool,Low,Original
2013-06-20,0.13023255813953488,0.34521880064829813,1.444064174211902e-05,0.33218982275586056,0.586144630112643,,,Moderate,Low,Original
2013-06-21,0.06976744186046513,0.3526742301458674,0.0,0.43967981703830755,0.5729886210553472,,,Moderate,Low,Original
2013-06-25,0.16279069767441862,0.547325769854133,0.0025126716631287092,0.27615780445969135,0.4387915962051081,,,Moderate,Low,Original
2013-06-26,0.11627906976744184,0.5632090761750403,0.004028939046051207,0.2635791881074901,0.5115365874630973,,,Moderate,Low,Original
2013-06-27,0.10232558139534884,0.5115072933549436,0.004216667388698753,0.3979416809605489,0.5411161110951879,,,Moderate,Low,Original
2013-06-28,0.14883720930232558,0.5332252836304703,0.0015307080246646163,0.3842195540308749,0.46937430135572855,,,Moderate,Low,Original
2013-06-30,0.09302325581395349,0.47115072933549507,0.0031191786162977084,0.38593481989708417,0.4940239043824701,,,Moderate,Low,Original
2013-07-01,0.06976744186046513,0.5316045380875203,0.0042022267469566344,0.32475700400228696,0.5209378314081803,,,Moderate,Low,Original
2013-07-02,0.06976744186046513,0.47163695299837927,0.012476714465190834,0.2618639222412808,0.41471523976038305,,,Moderate,Low,Original
2013-07-03,0.05581395348837209,0.5732576985413289,0.015220436396193445,0.234991423670669,0.3500243629797357,,,Moderate,Low,Original
2013-07-04,0.05581395348837209,0.49546191247974103,0.021863131597568197,0.3979416809605489,0.5202785978388607,,,Moderate,Low,Original
2013-07-05,0.10232558139534884,0.4875202593192871,0.002426027812675996,0.3927958833619211,0.4843360371463785,,,Moderate,Low,Original
2013-07-09,0.11627906976744184,0.34149108589951394,7.22032087105951e-05,0.24985706117781598,0.1954484221387831,,,Moderate,Low,Original
2013-07-10,0.20930232558139533,0.3507293354943275,0.0,0.37049742710120065,0.3822121585600047,,,Moderate,Low,Original
2013-07-11,0.23255813953488375,0.376337115072934,0.0,0.38765008576329324,0.44506864627819676,,,Moderate,Low,Original
2013-07-12,0.33488372093023255,0.42317666126418163,0.0,0.2367066895368783,0.31411046461635483,,,Moderate,Low,Original
2013-07-14,0.3953488372093023,0.39837925445705014,0.0,0.3573470554602631,0.36085872337986213,,,Moderate,Low,Original
2013-07-15,0.3953488372093023,0.4273905996758509,0.0,0.33390508862206986,0.2911519390065638,,,Moderate,Low,Original
2013-07-16,0.37209302325581395,0.48897893030794193,0.0,0.2292738707833048,0.3319384333170914,,,Moderate,Low,Original
2013-07-17,0.36279069767441857,0.5948136142625604,0.0,0.24128073184676962,0.3428874430336213,,,Moderate,Low,Original
2013-07-18,0.3023255813953488,0.5523500810372772,0.0,0.36249285305889084,0.41591905758261927,,,Moderate,Low,Original
2013-07-19,0.26046511627906976,0.5894651539708267,0.0,0.22927387078330475,0.2891169136404026,,,Moderate,Low,Original
2013-07-21,0.18604651162790697,0.4380875202593193,0.0,0.4539736992567182,0.41144773424288483,,,Moderate,Low,Original
2013-07-22,0.18604651162790697,0.42495948136142636,0.0,0.38936535162950275,0.36793831866777493,,,Moderate,Low,Original
2013-07-23,0.20930232558139533,0.4912479740680713,0.0,0.3882218410520298,0.3874860271145637,,,Moderate,Low,Original
2013-07-24,0.22325581395348837,0.5132901134521883,0.0,0.5025728987993139,0.3337441600504458,,,Moderate,Low,Original
2013-07-25,0.3023255813953488,0.3405186385737442,0.0,0.5586049170954832,0.24434635558485485,,,Moderate,Low,Original
2013-07-26,0.3023255813953488,0.5097244732576989,0.0,0.3579188107489995,0.2545788070738628,,,Moderate,Low,Original
2013-07-28,0.3023255813953488,0.5948136142625613,0.0,0.26872498570611786,0.48519590701940474,,,Moderate,Low,Original
2013-07-29,0.31627906976744186,0.6335494327390598,0.0,0.3481989708404803,0.3325403422282094,,,Moderate,Low,Original
2013-07-30,0.27906976744186046,0.5620745542949754,0.025256682406966168,0.4002287021154946,0.4163776548482332,,,Moderate,Low,Original
2013-07-31,0.2558139534883721,0.31102106969205834,0.03296798509725772,0.5237278444825615,0.7081028404368142,,,Cool,Low,Original
2013-08-01,0.24186046511627907,0.31928687196110217,0.017790870626290634,0.6329331046312179,0.5550173407091064,,,Cool,Low,Original
