Date,unit,min_price,max_price,price_avg,market,temp_c,precip_mm,wind_m_s,rh_pct,Harvest_kg_x,Price_index_x,Harvest_kg_y,Price_index_y,Harvest_kg,Price_index,price_outlier,price_lag_1,price_lag_7,price_lag_14,price_roll7_mean,price_roll30_mean,month,dayofweek,day
2013-07-04,Kg,14,18,16.0,Tomato,18.3225,15.14,1.46,71.46375,62242.11640033507,1.838962957880129,62242.11640033507,1.838962957880129,62242.11640033507,1.838962957880129,False,16.0,22.5,29.0,19.142857142857142,21.8,7,3,4
2013-07-05,Kg,18,24,21.0,Tomato,18.26125,1.6800000000000004,1.44875,69.89625,49963.79365902652,1.7431656432833367,49963.79365902652,1.7431656432833367,49963.79365902652,1.7431656432833367,False,16.0,21.0,22.5,19.142857142857142,21.75,7,4,5
2013-07-09,Kg,20,25,22.5,Tomato,17.135,0.05,1.13625,57.2975,75845.27408256874,1.5725325190306054,75845.27408256874,1.5725325190306054,75845.27408256874,1.5725325190306054,False,21.0,26.0,24.0,18.642857142857142,21.794117647058822,7,1,9
2013-07-10,Kg,30,35,32.5,Tomato,17.20625,0.0,1.3999999999999997,65.4425,29019.842556070438,0.6889259585020058,29019.842556070438,0.6889259585020058,29019.842556070438,0.6889259585020058,False,22.5,20.0,26.0,20.428571428571427,22.38888888888889,7,2,10
2013-07-11,Kg,32,38,35.0,Tomato,17.403750000000002,0.0,1.4374999999999998,68.18375,73780.62911368432,1.4689122452324763,73780.62911368432,1.4689122452324763,73780.62911368432,1.4689122452324763,False,32.5,17.5,24.0,22.928571428571427,23.05263157894737,7,3,11
2013-07-12,Kg,44,48,46.0,Tomato,17.765,0.0,1.1075,62.4725,46444.47006149666,1.4766750610421429,46444.47006149666,1.4766750610421429,46444.47006149666,1.4766750610421429,False,35.0,17.5,17.5,27.0,24.2,7,4,12
2013-07-14,Kg,50,55,52.5,Tomato,17.57375,0.0,1.37125,64.51125,46494.29831082343,1.6324248952427485,46494.29831082343,1.6324248952427485,46494.29831082343,1.6324248952427485,False,46.0,16.0,27.5,32.214285714285715,25.547619047619047,7,6,14
2013-07-15,Kg,50,55,52.5,Tomato,17.7975,0.0,1.32,61.47125,38009.367921897305,1.488274332071054,38009.367921897305,1.488274332071054,38009.367921897305,1.488274332071054,False,52.5,16.0,22.5,37.42857142857143,26.772727272727273,7,0,15
2013-07-16,Kg,48,52,50.0,Tomato,18.2725,0.0,1.09125,63.24999999999999,120736.54128579781,1.67487629106426,120736.54128579781,1.67487629106426,120736.54128579781,1.67487629106426,False,52.5,21.0,21.0,41.57142857142857,27.782608695652176,7,1,16
2013-07-17,Kg,46,52,49.0,Tomato,19.088749999999997,0.0,1.1175,63.727500000000006,11715.903921134322,0.929424346580739,11715.903921134322,0.929424346580739,11715.903921134322,0.929424346580739,False,50.0,22.5,26.0,45.357142857142854,28.666666666666668,7,2,17
2013-07-18,Kg,40,45,42.5,Tomato,18.76125,0.0,1.3825,66.9125,109705.84966135645,1.7004862721552434,109705.84966135645,1.7004862721552434,109705.84966135645,1.7004862721552434,False,49.0,32.5,20.0,46.785714285714285,29.22,7,3,18
2013-07-19,Kg,36,40,38.0,Tomato,19.0475,0.0,1.0912499999999998,61.3825,107672.34241582296,1.5266788093489372,107672.34241582296,1.5266788093489372,107672.34241582296,1.5266788093489372,False,42.5,35.0,17.5,47.214285714285715,29.557692307692307,7,4,19
2013-07-21,Kg,28,32,30.0,Tomato,17.88,0.0,1.5825,66.7175,78280.71124800069,1.4708499107513138,78280.71124800069,1.4708499107513138,78280.71124800069,1.4708499107513138,False,38.0,46.0,17.5,44.92857142857143,29.574074074074073,7,6,21
2013-07-22,Kg,28,32,30.0,Tomato,17.778750000000002,0.0,1.4412500000000001,64.82,78280.71124800069,1.4708499107513138,,,78280.71124800069,1.4708499107513138,False,30.0,52.5,16.0,41.714285714285715,29.589285714285715,7,0,22
2013-07-23,Kg,30,35,32.5,Tomato,18.29,0.0,1.43875,65.67250000000001,17004.05398635387,2.1604809707899024,17004.05398635387,2.1604809707899024,17004.05398635387,2.1604809707899024,False,30.0,52.5,16.0,38.857142857142854,29.689655172413794,7,1,23
2013-07-24,Kg,32,36,34.0,Tomato,18.46,0.0,1.68875,63.32875,59605.64978754914,0.9743180959114334,59605.64978754914,0.9743180959114334,59605.64978754914,0.9743180959114334,False,32.5,50.0,21.0,36.57142857142857,29.833333333333332,7,2,24
2013-07-25,Kg,40,45,42.5,Tomato,17.1275,0.0,1.81125,59.42999999999999,24567.16812394688,0.9133891920399606,24567.16812394688,0.9133891920399606,24567.16812394688,0.9133891920399606,False,34.0,49.0,22.5,35.642857142857146,30.283333333333335,7,3,25
2013-07-26,Kg,40,45,42.5,Tomato,18.4325,0.0,1.3725,59.87625,73016.30699880072,1.6693149124142455,73016.30699880072,1.6693149124142455,73016.30699880072,1.6693149124142455,False,42.5,42.5,32.5,35.642857142857146,30.95,7,4,26
2013-07-28,Kg,40,45,42.5,Tomato,19.088750000000005,0.0,1.1775,69.93375,57014.118737066085,1.2880849795776377,57014.118737066085,1.2880849795776377,57014.118737066085,1.2880849795776377,False,42.5,38.0,35.0,36.285714285714285,31.566666666666666,7,6,28
